Starting to receive mocap frames...

{'id_num': 42, 'pos': (0.3122245669364929, 0.3320711553096771, -0.002395277377218008), 'rot': (0.9261399507522583, 0.3767915666103363, -0.000167482256074436, 0.01711595244705677), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00019438043818809092}
{'id_num': 42, 'pos': (0.31222593784332275, 0.3320761024951935, -0.0023970487527549267), 'rot': (0.9261296391487122, 0.3768180310726166, -0.0001533537288196385, 0.017094574868679047), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00019414648704696447}
{'id_num': 42, 'pos': (0.31221815943717957, 0.33207088708877563, -0.0023961716797202826), 'rot': (0.9261285066604614, 0.376816064119339, -0.00015187620010692626, 0.01719948835670948), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001766480563674122}
{'id_num': 42, 'pos': (0.3122091591358185, 0.33206453919410706, -0.002392565831542015), 'rot': (0.9261385202407837, 0.3767888844013214, -0.00014085542352404445, 0.017252162098884583), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017464571283198893}
{'id_num': 42, 'pos': (0.3122066855430603, 0.33206382393836975, -0.0023949011228978634), 'rot': (0.9261394739151001, 0.37678730487823486, -0.00017649879737291485, 0.01723768562078476), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00016777776181697845}
{'id_num': 42, 'pos': (0.31220465898513794, 0.3320610225200653, -0.0023924768902361393), 'rot': (0.9261468648910522, 0.376765638589859, -0.00017555756494402885, 0.017310412600636482), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017127692990470678}
{'id_num': 42, 'pos': (0.3122054636478424, 0.3320598006248474, -0.002393728820607066), 'rot': (0.9261582493782043, 0.3767373561859131, -0.00018763888510875404, 0.0173183660954237), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017290600226260722}
{'id_num': 42, 'pos': (0.31219950318336487, 0.3320566713809967, -0.0023923045955598354), 'rot': (0.9261648058891296, 0.37672188878059387, -0.00019139416690450162, 0.017306776717305183), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001805923820938915}
{'id_num': 42, 'pos': (0.3122090995311737, 0.3320641815662384, -0.0023927579168230295), 'rot': (0.9261445999145508, 0.3767757713794708, -0.00019210850587114692, 0.017209650948643684), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001884892553789541}
{'id_num': 42, 'pos': (0.3122181296348572, 0.3320711851119995, -0.002394061768427491), 'rot': (0.9261318445205688, 0.3768090605735779, -0.00021148343512322754, 0.017172176390886307), 'markers': None, 'tracking_valid': True, 'marker_error': 0.000192699211766012}
{'id_num': 42, 'pos': (0.31221476197242737, 0.3320659399032593, -0.002391819143667817), 'rot': (0.9261487722396851, 0.37676897644996643, -0.0002174443652620539, 0.01713697984814644), 'markers': None, 'tracking_valid': True, 'marker_error': 0.000173146283486858}
